question,response,label,label_explanation
"U kojem je desetljeću izašao prvi film o Jamesu Bondu?","1960-ih.","pass","Prvi Bond film 'Dr. No' izašao je 1962."
"Kako se zove glavni lik u seriji Breaking Bad?","Walter White.","pass","Točan i potpun odgovor."
"Tko je režirao film Inception?","Christopher Nolan.","pass","Nolan je ispravan redatelj."
"Koja je najdugovječnija animirana serija u SAD-u?","Family Guy.","fail","Najdugovječniji su 'The Simpsons'."
"U kojem se fiktivnom gradu odvija radnja MCU filma Black Panther?","Wakanda.","pass","Wakanda je izmišljena afrička država i glavno mjesto radnje."
"Tko je glumio Jacka Dawsona u Titanicu?","Leonardo DiCaprio.","pass","Točno."
"Kako se zove fantastična zemlja u kojoj se odvija radnja Gospodara prstenova?","Narnia.","fail","Ispravno je Middle-earth; Narnia je iz drugog djela."
"Koji je žanr serije Stranger Things?","Horror i sci-fi kombinacija.","pass","Klasifikacija je ispravna."
"Tko je režirao originalnu trilogiju Ratova zvijezda (IV–VI)?","George Lucas.","pass","Ispravno."
"Koja serija prati obitelj Stark?","The Witcher.","fail","Serija 'Game of Thrones' prati obitelj Stark."
"U kojem je filmu Heath Ledger glumio Jokera?","The Dark Knight.","pass","Točan film."
"Kako se zove najveći zmaj u seriji Game of Thrones?","Smaug.","fail","Smaug je iz LOTR; najveći zmaj u GoT je Drogon."
"Koji je Pixarov film prvi osvojio Oscar za najbolji animirani film?","Toy Story.","fail","Prvi dobitnik Oscara je 'Shrek' (DreamWorks); prvi Pixar dobitnik je 'Finding Nemo'."
"Koja je streaming platforma producirala seriju The Crown?","Netflix.","pass","Točno."
"Kako se zove glavni negativac u filmu Avengers: Infinity War?","Thanos.","pass","Točan odgovor."
"Tko je glumio Harryja Pottera u filmskoj franšizi?","Daniel Radcliffe.","pass","Ispravno."
"Koja serija prati detektiva po imenu Sherlock Holmes u suvremenom Londonu?","Sherlock.","pass","Točan naziv serije."
"Kako se zove glavni grad Panema u Igrama gladi?","City Capitol.","fail","Ispravno je samo 'The Capitol'; odgovor je netočan."
